mes,horas sol/dia,Irradiancia total/dia,Irradiancia min total/dia,Irradiancia max total/dia,error
Enero,11,6113.95,5626.02,6601.88,487.93
Febrero,11,7360.61,6648.38,8072.84,712.23
Marzo,13,8911.435,8149.4,9673.47,762.035
Abril,14,10248.765,9733.13,10764.4,515.635
Mayo,14,11049.99,10790.65,11309.33,259.34
Junio,14,11331.185,11201.47,11460.9,129.715
Julio,15,11162.125,10932.61,11391.64,229.515
Agosto,14,10432.735,9975.15,10890.32,457.585
Septiembre,13,9257.795,8592.88,9922.71,664.915
Octubre,12,7745.785,6965.58,8525.99,780.205
Noviembre,14,6613.445,5992.52,7234.37,620.925
Diciembre,11,5680.045,5458.74,5901.35,221.305
