mes,hora,v min,v max,prom,error,ancho clase,rango
Enero,7,82.92,111.5,97.21,14.29,5.72,28.58
Enero,8,342.42,388.1,365.26,22.84,9.14,45.68
Enero,9,566.75,626.98,596.865,30.115,12.05,60.23
Enero,10,732.88,809.27,771.075,38.195,15.28,76.39
Enero,11,830.73,922.55,876.64,45.91,18.36,91.82
Enero,12,853.6,959.1,906.35,52.75,21.1,105.5
Enero,13,799.95,916.42,858.185,58.235,23.29,116.47
Enero,14,673.42,797.45,735.435,62.015,24.81,124.03
Enero,15,482.62,610.27,546.445,63.825,25.53,127.65
Enero,16,240.58,367.62,304.1,63.52,25.41,127.04
Enero,17,20.15,92.62,56.385,36.235,14.49,72.47
Febrero,7,114.2,245.58,179.89,65.69,26.28,131.38
Febrero,8,391.6,520.65,456.125,64.525,25.81,129.05
Febrero,9,630.88,764.92,697.9,67.02,26.81,134.04
Febrero,10,813.52,950.85,882.185,68.665,27.47,137.33
Febrero,11,927.1,1065.75,996.425,69.325,27.73,138.65
Febrero,12,963.88,1101.8,1032.84,68.96,27.58,137.92
Febrero,13,921.33,1056.52,988.925,67.595,27.04,135.19
Febrero,14,802.38,933.05,867.715,65.335,26.13,130.67
Febrero,15,615.1,739.8,677.45,62.35,24.94,124.7
Febrero,16,372.27,489.92,431.095,58.825,23.53,117.65
Febrero,17,96.12,204,150.06,53.94,21.58,107.88
Marzo,6,14.1,115.42,64.76,50.66,20.26,101.32
Marzo,7,245.92,415.7,330.81,84.89,33.96,169.78
Marzo,8,526.25,693.98,610.115,83.865,33.55,167.73
Marzo,9,770.48,928.45,849.465,78.985,31.59,157.97
Marzo,10,956.23,1103.17,1029.7,73.47,29.39,146.94
Marzo,11,1070.92,1206.2,1138.56,67.64,27.06,135.28
Marzo,12,1106.7,1230.55,1168.625,61.925,24.77,123.85
Marzo,13,1061.17,1174.58,1117.875,56.705,22.68,113.41
Marzo,14,937.4,1042.12,989.76,52.36,20.94,104.72
Marzo,15,743.88,842.23,793.055,49.175,19.67,98.35
Marzo,16,493.75,588.5,541.125,47.375,18.95,94.75
Marzo,17,208.2,298.15,253.175,44.975,17.99,89.95
Marzo,18,14.4,34.42,24.41,10.01,4,20.02
Abril,5,14.83,22.55,18.69,3.86,2.57,7.72
Abril,6,120.6,262.58,191.59,70.99,28.4,141.98
Abril,7,421.2,549.62,485.41,64.21,25.68,128.42
Abril,8,699,810.83,754.915,55.915,22.37,111.83
Abril,9,932.95,1028.35,980.65,47.7,19.08,95.4
Abril,10,1107.12,1187.4,1147.26,40.14,16.06,80.28
Abril,11,1209.65,1277.15,1243.4,33.75,13.5,67.5
Abril,12,1233.58,1291.5,1262.54,28.96,11.58,57.92
Abril,13,1177.27,1229.5,1203.385,26.115,10.45,52.23
Abril,14,1044.62,1095.4,1070.01,25.39,10.16,50.78
Abril,15,844.65,898.33,871.49,26.84,10.74,53.68
Abril,16,591,651.75,621.375,30.375,12.15,60.75
Abril,17,300.83,372.27,336.55,35.72,14.29,71.44
Abril,18,35.83,87.17,61.5,25.67,10.27,51.34
Mayo,5,24.17,64.55,44.36,20.19,8.08,40.38
Mayo,6,266.25,328.85,297.55,31.3,12.52,62.6
Mayo,7,552.7,600.8,576.75,24.05,9.62,48.1
Mayo,8,813.33,848.45,830.89,17.56,7.02,35.12
Mayo,9,1030.3,1055.15,1042.725,12.425,4.97,24.85
Mayo,10,1188.9,1206.52,1197.71,8.81,3.52,17.62
Mayo,11,1278.35,1292.08,1285.215,6.865,2.75,13.73
Mayo,12,1292.52,1306.08,1299.3,6.78,2.71,13.56
Mayo,13,1230.48,1248.05,1239.265,8.785,3.51,17.57
Mayo,14,1096.5,1121.67,1109.085,12.585,5.03,25.17
Mayo,15,899.7,935.52,917.61,17.91,7.16,35.82
Mayo,16,653.52,702.35,677.935,24.415,9.77,48.83
Mayo,17,374.58,437.88,406.23,31.65,12.66,63.3
