YEAR,MO,DY,HR,IT,IT clear,IT EXT,HREL
2020,11,30,17,7.21,1.62,4.5,2.75
2020,11,30,18,0,0,0,2.75
2020,11,30,19,0,0,0,2.81
2020,11,30,20,0,0,0,2.93
2020,11,30,21,0,0,0,3.05
2020,11,30,22,0,0,0,3.17
2020,11,30,23,0,0,0,3.23
2020,12,1,0,0,0,0,3.17
2020,12,1,1,0,0,0,3.05
2020,12,1,2,0,0,0,2.93
2020,12,1,3,0,0,0,2.75
2020,12,1,4,0,0,0,2.62
2020,12,1,5,0,0,0,2.44
2020,12,1,6,0,0,0,2.26
2020,12,1,7,94.51,98.15,159.77,2.14
2020,12,1,8,316.62,310.83,415.75,2.14
2020,12,1,9,504.14,498.58,626.52,1.46
2020,12,1,10,643.01,637.27,777.08,0.98
2020,12,1,11,718.09,713.62,857.15,0.85
2020,12,1,12,718.68,716.45,861.27,0.85
2020,12,1,13,652.65,649.42,789.2,0.92
2020,12,1,14,525.1,517.92,645.8,0.92
2020,12,1,15,340.32,334.05,440.88,0.98
2020,12,1,16,123.68,124.1,192.85,1.1
2020,12,1,17,0,0,0,1.4
2020,12,1,18,0,0,0,1.4
2020,12,1,19,0,0,0,1.4
2020,12,1,20,0,0,0,1.34
2020,12,1,21,0,0,0,1.34
2020,12,1,22,0,0,0,1.34
2020,12,1,23,0,0,0,1.34
2020,12,2,0,0,0,0,1.28
2020,12,2,1,0,0,0,1.34
2020,12,2,2,0,0,0,1.34
2020,12,2,3,0,0,0,1.4
2020,12,2,4,0,0,0,1.4
2020,12,2,5,0,0,0,1.4
2020,12,2,6,0,0,0,1.4
2020,12,2,7,92.4,93.67,155.8,1.46
2020,12,2,8,311.27,305.45,412.1,1.46
2020,12,2,9,496.87,491.5,623.12,1.34
2020,12,2,10,634.22,627.38,774.02,1.22
2020,12,2,11,706.09,700.25,854.52,1.16
2020,12,2,12,710.59,705.42,859.17,1.16
2020,12,2,13,645.25,640.4,787.6,1.16
2020,12,2,14,515.84,510,644.75,1.22
2020,12,2,15,333.82,327.6,440.3,1.22
2020,12,2,16,119.85,119.9,192.65,1.34
2020,12,2,17,0,0,0,1.65
2020,12,2,18,0,0,0,1.59
2020,12,2,19,0,0,0,1.59
2020,12,2,20,0,0,0,1.71
2020,12,2,21,0,0,0,1.89
2020,12,2,22,0,0,0,2.01
2020,12,2,23,0,0,0,2.08
2020,12,3,0,0,0,0,2.2
2020,12,3,1,0,0,0,2.26
2020,12,3,2,0,0,0,2.32
2020,12,3,3,0,0,0,2.38
2020,12,3,4,0,0,0,2.38
2020,12,3,5,0,0,0,2.44
2020,12,3,6,0,0,0,2.44
2020,12,3,7,78.36,87.48,151.9,2.5
2020,12,3,8,281.94,296.08,408.5,2.5
2020,12,3,9,419.87,481.27,619.77,2.44
2020,12,3,10,540.34,617.15,771.02,2.44
2020,12,3,11,607.8,690.6,851.98,2.44
2020,12,3,12,623.6,694.92,857.12,2.44
2020,12,3,13,558.24,631.08,786.12,2.38
2020,12,3,14,415.51,503.45,643.77,2.2
2020,12,3,15,284.5,324,439.83,2.08
2020,12,3,16,103.58,118.7,192.6,2.08
2020,12,3,17,0,0,0,2.2
2020,12,3,18,0,0,0,2.2
2020,12,3,19,0,0,0,2.2
2020,12,3,20,0,0,0,2.2
2020,12,3,21,0,0,0,2.2
2020,12,3,22,0,0,0,2.2
2020,12,3,23,0,0,0,2.2
2020,12,4,0,0,0,0,2.14
2020,12,4,1,0,0,0,2.14
2020,12,4,2,0,0,0,2.2
2020,12,4,3,0,0,0,2.32
2020,12,4,4,0,0,0,2.38
2020,12,4,5,0,0,0,2.32
2020,12,4,6,0,0,0,2.26
2020,12,4,7,60.27,84.15,148.12,2.26
2020,12,4,8,228.19,290.5,404.95,2.26
2020,12,4,9,388.45,473.38,616.48,2.38
2020,12,4,10,508.73,606.73,768.1,2.5
2020,12,4,11,603.12,678.35,849.52,2.62
2020,12,4,12,559.73,679.67,855.2,2.75
2020,12,4,13,518.45,615.67,784.73,2.87
2020,12,4,14,360.27,488.9,642.92,2.87
2020,12,4,15,237.47,311.83,439.45,2.87
2020,12,4,16,75.16,111.73,192.7,2.87
2020,12,4,17,0,0,0,2.81
2020,12,4,18,0,0,0,2.81
2020,12,4,19,0,0,0,2.81
2020,12,4,20,0,0,0,2.81
2020,12,4,21,0,0,0,2.87
2020,12,4,22,0,0,0,2.87
2020,12,4,23,0,0,0,2.87
2020,12,5,0,0,0,0,2.81
2020,12,5,1,0,0,0,2.81
2020,12,5,2,0,0,0,2.87
2020,12,5,3,0,0,0,2.87
2020,12,5,4,0,0,0,2.93
2020,12,5,5,0,0,0,2.99
2020,12,5,6,0,0,0,3.11
2020,12,5,7,79.23,80.02,144.42,3.17
2020,12,5,8,282.95,286.12,401.42,3.05
2020,12,5,9,466.95,471.2,613.17,2.69
2020,12,5,10,609.98,608.05,765.17,2.62
2020,12,5,11,686.67,682.3,847.05,2.62
2020,12,5,12,690.63,686.65,853.27,2.56
2020,12,5,13,630.45,623.52,783.38,2.56
2020,12,5,14,504.33,497.55,642.15,2.5
2020,12,5,15,327.55,320.2,439.2,2.38
2020,12,5,16,117.7,117.3,192.95,2.26
2020,12,5,17,0,0,0,2.26
2020,12,5,18,0,0,0,2.2
2020,12,5,19,0,0,0,2.14
2020,12,5,20,0,0,0,2.14
2020,12,5,21,0,0,0,2.08
2020,12,5,22,0,0,0,2.14
2020,12,5,23,0,0,0,2.14
2020,12,6,0,0,0,0,2.01
2020,12,6,1,0,0,0,1.89
2020,12,6,2,0,0,0,1.89
2020,12,6,3,0,0,0,1.89
2020,12,6,4,0,0,0,1.95
2020,12,6,5,0,0,0,2.08
2020,12,6,6,0,0,0,2.2
2020,12,6,7,84.9,82.95,140.83,2.26
2020,12,6,8,297.12,293,397.98,2.32
2020,12,6,9,486.69,478.85,609.95,2.38
2020,12,6,10,621.8,615.6,762.3,2.26
2020,12,6,11,695.77,690.33,844.67,2.08
2020,12,6,12,702.69,696.88,851.42,2.01
2020,12,6,13,639.7,633.5,782.1,1.95
2020,12,6,14,510.38,506.62,641.45,1.89
2020,12,6,15,330.79,327.75,439.05,1.83
2020,12,6,16,120.43,122.58,193.35,1.95
2020,12,6,17,0,0,0,2.01
2020,12,6,18,0,0,0,1.95
2020,12,6,19,0,0,0,1.95
2020,12,6,20,0,0,0,1.89
2020,12,6,21,0,0,0,1.89
2020,12,6,22,0,0,0,1.89
2020,12,6,23,0,0,0,1.95
2020,12,7,0,0,0,0,2.01
2020,12,7,1,0,0,0,2.08
2020,12,7,2,0,0,0,2.08
2020,12,7,3,0,0,0,2.14
2020,12,7,4,0,0,0,2.14
2020,12,7,5,0,0,0,2.2
2020,12,7,6,0,0,0,2.26
2020,12,7,7,81.45,80.67,137.33,2.32
2020,12,7,8,294.61,290.5,394.58,2.38
2020,12,7,9,466.77,475.73,606.83,2.32
2020,12,7,10,596.76,611.98,759.58,2.14
2020,12,7,11,631.41,687.2,842.42,1.89
2020,12,7,12,610.66,690.83,849.73,1.71
2020,12,7,13,546.96,628.35,781,1.65
2020,12,7,14,412.52,502.02,640.92,1.59
2020,12,7,15,263.39,324.25,439.05,1.65
2020,12,7,16,86.48,120.77,193.9,2.14
2020,12,7,17,0,0,0,2.14
2020,12,7,18,0,0,0,2.08
2020,12,7,19,0,0,0,2.14
2020,12,7,20,0,0,0,2.14
2020,12,7,21,0,0,0,2.2
2020,12,7,22,0,0,0,2.2
2020,12,7,23,0,0,0,2.14
2020,12,8,0,0,0,0,2.01
2020,12,8,1,0,0,0,1.95
2020,12,8,2,0,0,0,1.95
2020,12,8,3,0,0,0,1.95
2020,12,8,4,0,0,0,2.08
2020,12,8,5,0,0,0,2.2
2020,12,8,6,0,0,0,2.32
2020,12,8,7,72.36,75.08,133.95,2.38
2020,12,8,8,284.11,279.8,391.3,2.44
2020,12,8,9,469.88,462.67,603.83,2.62
2020,12,8,10,604.16,597.12,757,3.36
2020,12,8,11,675.39,671.77,840.35,3.6
2020,12,8,12,682.78,676.67,848.23,3.23
2020,12,8,13,620.04,615.17,780.08,2.93
2020,12,8,14,494.48,491.42,640.58,2.81
2020,12,8,15,320.41,316.65,439.2,2.75
2020,12,8,16,116.16,117.5,194.65,3.23
2020,12,8,17,0,0,0,2.99
2020,12,8,18,0,0,0,2.93
2020,12,8,19,0,0,0,2.93
2020,12,8,20,0,0,0,2.93
2020,12,8,21,0,0,0,2.99
2020,12,8,22,0,0,0,3.05
2020,12,8,23,0,0,0,3.11
2020,12,9,0,0,0,0,3.17
2020,12,9,1,0,0,0,3.3
2020,12,9,2,0,0,0,3.42
2020,12,9,3,0,0,0,3.48
2020,12,9,4,0,0,0,3.54
2020,12,9,5,0,0,0,3.6
2020,12,9,6,0,0,0,3.72
2020,12,9,7,65.73,67.58,130.67,4.03
2020,12,9,8,232.13,263.27,388.12,4.58
2020,12,9,9,384.6,440.85,600.95,5.8
2020,12,9,10,529.57,572.27,754.55,6.04
2020,12,9,11,521.18,627.15,838.4,6.04
2020,12,9,12,453.52,638.4,846.88,6.1
2020,12,9,13,346.91,585.08,779.33,6.29
2020,12,9,14,294.23,466.15,640.38,6.53
2020,12,9,15,222.88,298.5,439.52,6.71
2020,12,9,16,79.53,109.2,195.55,6.96
2020,12,9,17,0,0,0,7.14
2020,12,9,18,0,0,0,7.32
2020,12,9,19,0,0,0,7.39
2020,12,9,20,0,0,0,7.39
2020,12,9,21,0,0,0,7.32
2020,12,9,22,0,0,0,7.32
2020,12,9,23,0,0,0,7.39
2020,12,10,0,0,0,0,7.51
2020,12,10,1,0,0,0,7.57
2020,12,10,2,0,0,0,7.69
2020,12,10,3,0,0,0,7.81
2020,12,10,4,0,0,0,8.06
2020,12,10,5,0,0,0,8.18
2020,12,10,6,0,0,0,8.24
2020,12,10,7,29.89,61.23,127.52,8.06
2020,12,10,8,93.84,252.33,385,7.87
2020,12,10,9,113.21,429,598.15,7.57
