mes,IT0mes,IDirect0mes,IDif0mes,IT1mes,IDirect1mes,IDif1mes,IT0meserror,IDirect0meserror,IDif0meserror,IT1meserror,IDirect1meserror,IDif1meserror,ITEXTmes,ITEXTmeserror,varmen
Enero,3832.86,3585.93,246.93,4495.27,4124.66,370.61,261.56,243.98,17.58,319.92,293.74,26.18,6113.95,487.93,17.28
Febrero,4788.68,4484.64,304.05,5748.58,5296.48,452.1,384.98,358.7,26.27,496.02,457.61,38.41,7360.61,712.23,20.05
Marzo,6012.77,5510.34,502.42,7482.76,6748.17,734.59,403.52,366.22,37.3,554.16,501.05,53.11,8911.44,762.04,24.45
Abril,6759.66,6042.43,717.24,8634.8,7609.7,1025.1,230.02,201.18,28.85,345.16,306.11,39.05,10248.76,515.63,27.74
Mayo,7082.58,6155.44,927.11,9156.63,7866.23,1290.4,96.05,80.05,16,155.67,135.78,19.89,11049.99,259.34,29.28
Junio,7205.83,6184.91,1020.93,9157.32,7758.69,1398.63,54.6,45.24,9.36,82.46,71.05,11.41,11331.19,129.72,27.08
Julio,7060.77,6071.54,989.22,8970.44,7605.33,1365.11,81.94,68.01,13.93,124.38,107.14,17.24,11125.45,212.34,27.05
Agosto,6827.58,5894.58,933,8793.21,7474.93,1318.28,209.66,176.1,33.62,313.82,269.28,44.54,10432.74,457.58,28.79
Septiembre,6168.12,5473.62,694.5,7784.88,6777.99,1006.89,350.62,306.58,44.02,491.6,429.71,61.89,9257.79,664.91,26.21
Octubre,5135.15,4662.69,472.47,6282.03,5584.13,697.9,433.6,390.65,42.98,570.27,507.97,62.3,7745.79,780.2,22.33
Noviembre,3961.73,3669.86,291.85,4696.77,4260.14,436.63,287.39,265.01,22.39,359.75,326.67,33.08,6364.8,552.06,18.55
Diciembre,3486.96,3260.78,226.18,4068.39,3728.31,340.08,92.69,85.9,6.79,121.69,111.74,9.95,5680.04,221.31,16.67
