mes,dmin,dmax,decmax,decmin,decdif,variaciondec,decprom,decmed
Enero,0,30,-18.04,-23.09,5.05,21.87,-20.56,-21.27
Febrero,30,60,-8.29,-18.04,9.75,54.05,-13.16,-13.62
Marzo,60,90,3.62,-8.29,11.91,143.67,-2.33,-2.42
Abril,90,120,14.59,3.62,10.97,303.04,9.1,9.41
Mayo,120,150,21.75,14.59,7.16,49.07,18.17,18.79
Junio,150,180,23.24,21.75,1.49,6.85,22.49,23.27
Julio,180,210,18.67,23.24,4.57,19.66,20.96,21.67
Agosto,210,240,9.23,18.67,9.44,50.56,13.95,14.43
Septiembre,240,270,-2.62,9.23,11.85,128.39,3.3,3.42
Octubre,270,300,-13.78,-2.62,11.16,425.95,-8.2,-8.48
Noviembre,300,330,-21.35,-13.78,7.57,54.93,-17.57,-18.17
Diciembre,330,360,-23.35,-21.35,2.0,9.37,-22.35,-23.12
