mes,hora,IEXTMIN,IEXTMAX,IEXTPROM,error,k,C,dec,h
Enero,7,82.92,111.5,97.21,14.29,0.14,0.06,-21.27,75
Enero,8,342.42,388.1,365.26,22.84,0.14,0.06,-21.27,60
Enero,9,566.75,626.98,596.865,30.115,0.14,0.06,-21.27,45
Enero,10,732.88,809.27,771.075,38.195,0.14,0.06,-21.27,30
Enero,11,830.73,922.55,876.64,45.91,0.14,0.06,-21.27,15
Enero,12,853.6,959.1,906.35,52.75,0.14,0.06,-21.27,0
Enero,13,799.95,916.42,858.185,58.235,0.14,0.06,-21.27,-15
Enero,14,673.42,797.45,735.435,62.015,0.14,0.06,-21.27,-30
Enero,15,482.62,610.27,546.445,63.825,0.14,0.06,-21.27,-45
Enero,16,240.58,367.62,304.1,63.52,0.14,0.06,-21.27,-60
Enero,17,20.15,92.62,56.385,36.235,0.14,0.06,-21.27,-75
Febrero,7,114.2,245.58,179.89,65.69,0.15,0.06,-13.62,75
Febrero,8,391.6,520.65,456.125,64.525,0.15,0.06,-13.62,60
Febrero,9,630.88,764.92,697.9,67.02,0.15,0.06,-13.62,45
Febrero,10,813.52,950.85,882.185,68.665,0.15,0.06,-13.62,30
Febrero,11,927.1,1065.75,996.425,69.325,0.15,0.06,-13.62,15
Febrero,12,963.88,1101.8,1032.84,68.96,0.15,0.06,-13.62,0
Febrero,13,921.33,1056.52,988.925,67.595,0.15,0.06,-13.62,-15
Febrero,14,802.38,933.05,867.715,65.335,0.15,0.06,-13.62,-30
Febrero,15,615.1,739.8,677.45,62.35,0.15,0.06,-13.62,-45
Febrero,16,372.27,489.92,431.095,58.825,0.15,0.06,-13.62,-60
Febrero,17,96.12,204,150.06,53.94,0.15,0.06,-13.62,-75
Marzo,6,14.1,115.42,64.76,50.66,0.16,0.08,-2.42,90
Marzo,7,245.92,415.7,330.81,84.89,0.16,0.08,-2.42,75
Marzo,8,526.25,693.98,610.115,83.865,0.16,0.08,-2.42,60
Marzo,9,770.48,928.45,849.465,78.985,0.16,0.08,-2.42,45
Marzo,10,956.23,1103.17,1029.7,73.47,0.16,0.08,-2.42,30
Marzo,11,1070.92,1206.2,1138.56,67.64,0.16,0.08,-2.42,15
Marzo,12,1106.7,1230.55,1168.625,61.925,0.16,0.08,-2.42,0
Marzo,13,1061.17,1174.58,1117.875,56.705,0.16,0.08,-2.42,-15
Marzo,14,937.4,1042.12,989.76,52.36,0.16,0.08,-2.42,-30
Marzo,15,743.88,842.23,793.055,49.175,0.16,0.08,-2.42,-45
Marzo,16,493.75,588.5,541.125,47.375,0.16,0.08,-2.42,-60
Marzo,17,208.2,298.15,253.175,44.975,0.16,0.08,-2.42,-75
Marzo,18,14.4,34.42,24.41,10.01,0.16,0.08,-2.42,-90
Abril,5,14.83,22.55,18.69,3.86,0.18,0.1,9.41,105
Abril,6,120.6,262.58,191.59,70.99,0.18,0.1,9.41,90
Abril,7,421.2,549.62,485.41,64.21,0.18,0.1,9.41,75
Abril,8,699,810.83,754.915,55.915,0.18,0.1,9.41,60
Abril,9,932.95,1028.35,980.65,47.7,0.18,0.1,9.41,45
Abril,10,1107.12,1187.4,1147.26,40.14,0.18,0.1,9.41,30
Abril,11,1209.65,1277.15,1243.4,33.75,0.18,0.1,9.41,15
Abril,12,1233.58,1291.5,1262.54,28.96,0.18,0.1,9.41,0
Abril,13,1177.27,1229.5,1203.385,26.115,0.18,0.1,9.41,-15
Abril,14,1044.62,1095.4,1070.01,25.39,0.18,0.1,9.41,-30
Abril,15,844.65,898.33,871.49,26.84,0.18,0.1,9.41,-45
Abril,16,591,651.75,621.375,30.375,0.18,0.1,9.41,-60
Abril,17,300.83,372.27,336.55,35.72,0.18,0.1,9.41,-75
Abril,18,35.83,87.17,61.5,25.67,0.18,0.1,9.41,-90
Mayo,5,24.17,64.55,44.36,20.19,0.19,0.12,18.79,105
Mayo,6,266.25,328.85,297.55,31.3,0.19,0.12,18.79,90
Mayo,7,552.7,600.8,576.75,24.05,0.19,0.12,18.79,75
Mayo,8,813.33,848.45,830.89,17.56,0.19,0.12,18.79,60
Mayo,9,1030.3,1055.15,1042.725,12.425,0.19,0.12,18.79,45
Mayo,10,1188.9,1206.52,1197.71,8.81,0.19,0.12,18.79,30
Mayo,11,1278.35,1292.08,1285.215,6.865,0.19,0.12,18.79,15
Mayo,12,1292.52,1306.08,1299.3,6.78,0.19,0.12,18.79,0
Mayo,13,1230.48,1248.05,1239.265,8.785,0.19,0.12,18.79,-15
Mayo,14,1096.5,1121.67,1109.085,12.585,0.19,0.12,18.79,-30
Mayo,15,899.7,935.52,917.61,17.91,0.19,0.12,18.79,-45
Mayo,16,653.52,702.35,677.935,24.415,0.19,0.12,18.79,-60
Mayo,17,374.58,437.88,406.23,31.65,0.19,0.12,18.79,-75
Mayo,18,89.35,161.38,125.365,36.015,0.19,0.12,18.79,-90
Junio,5,54.9,67.3,61.1,6.2,0.2,0.13,23.27,105
Junio,6,310.75,330.73,320.74,9.99,0.2,0.13,23.27,90
Junio,7,580.33,601.25,590.79,10.46,0.2,0.13,23.27,75
Junio,8,827.7,848.45,838.075,10.375,0.2,0.13,23.27,60
Junio,9,1036.05,1054.75,1045.4,9.35,0.2,0.13,23.27,45
Junio,10,1191.15,1205.92,1198.535,7.385,0.2,0.13,23.27,30
Junio,11,1282.45,1291.67,1287.06,4.61,0.2,0.13,23.27,15
Junio,12,1303.73,1306.35,1305.04,1.31,0.2,0.13,23.27,0
Junio,13,1248.38,1253.83,1251.105,2.725,0.2,0.13,23.27,-15
Junio,14,1122.33,1135.23,1128.78,6.45,0.2,0.13,23.27,-30
Junio,15,936.55,956.92,946.735,10.185,0.2,0.13,23.27,-45
Junio,16,703.75,730.75,717.25,13.5,0.2,0.13,23.27,-60
Junio,17,439.67,472.1,455.885,16.215,0.2,0.13,23.27,-75
Junio,18,163.73,205.65,184.69,20.96,0.2,0.13,23.27,-90
Julio,5,19.5,53.85,36.675,17.175,0.21,0.13,21.67,105
Julio,5,19.5,53.85,36.675,17.175,0.21,0.13,21.67,105
Julio,6,247.9,309.2,278.55,30.65,0.21,0.13,21.67,90
Julio,7,528.05,578.92,553.485,25.435,0.21,0.13,21.67,75
Julio,8,786.02,826.52,806.27,20.25,0.21,0.13,21.67,60
Julio,9,1004.23,1035.12,1019.675,15.445,0.21,0.13,21.67,45
Julio,10,1167.77,1190.5,1179.135,11.365,0.21,0.13,21.67,30
Julio,11,1265.5,1282.05,1273.775,8.275,0.21,0.13,21.67,15
Julio,12,1290.73,1303.58,1297.155,6.425,0.21,0.13,21.67,0
Julio,13,1241.75,1253.83,1247.79,6.04,0.21,0.13,21.67,-15
Julio,14,1121.85,1136.08,1128.965,7.115,0.21,0.13,21.67,-30
Julio,15,939.2,958.02,948.61,9.41,0.21,0.13,21.67,-45
Julio,16,706.23,731.7,718.965,12.735,0.21,0.13,21.67,-60
Julio,17,438.9,472.65,455.775,16.875,0.21,0.13,21.67,-75
Julio,18,155.48,205.77,180.625,25.145,0.21,0.13,21.67,-90
Agosto,5,13.25,18.55,15.9,2.65,0.2,0.13,14.43,105
Agosto,6,176.38,245.58,210.98,34.6,0.2,0.13,14.43,90
Agosto,7,468.65,526.17,497.41,28.76,0.2,0.13,14.43,75
Agosto,8,736.62,784.55,760.585,23.965,0.2,0.13,14.43,60
Agosto,9,960.95,1003.05,982,21.05,0.2,0.13,14.43,45
Agosto,10,1126.33,1166.8,1146.565,20.235,0.2,0.13,14.43,30
