mes,hora,IEXTMIN,IEXTMAX,IEXTPROM,error,k,C,dec,h,B,AM,Azimut,AngIncidencia,IDirect0,IDif0,IT0,IDirect0error,IDif0error,IT0error
Enero,7,82.92,111.5,97.21,14.29,0.14,0.06,-21.27,75,1.86,30.75,64.17,75.5,0.33,0.07,0.4,0.05,0.01,0.06
Enero,8,342.42,388.1,365.26,22.84,0.14,0.06,-21.27,60,13.21,4.38,56.15,61.74,93.67,11.04,104.7,5.86,0.69,6.55
Enero,9,566.75,626.98,596.865,30.115,0.14,0.06,-21.27,45,23.37,2.52,45.84,48.11,280.06,23.4,303.46,14.13,1.18,15.31
Enero,10,732.88,809.27,771.075,38.195,0.14,0.06,-21.27,30,31.72,1.9,33.23,35.37,481.92,32.97,514.89,23.87,1.63,25.5
Enero,11,830.73,922.55,876.64,45.91,0.14,0.06,-21.27,15,37.37,1.65,17.19,24.54,632.94,38.82,671.76,33.15,2.03,35.18
Enero,12,853.6,959.1,906.35,52.75,0.14,0.06,-21.27,0,39.39,1.58,0,19.89,683.15,40.53,723.68,39.76,2.36,42.12
Enero,13,799.95,916.42,858.185,58.235,0.14,0.06,-21.27,-15,37.37,1.65,-17.19,24.54,619.63,38,657.63,42.04,2.58,44.62
Enero,14,673.42,797.45,735.435,62.015,0.14,0.06,-21.27,-30,31.72,1.9,-33.23,35.37,459.65,31.45,491.1,38.76,2.65,41.41
Enero,15,482.62,610.27,546.445,63.825,0.14,0.06,-21.27,-45,23.37,2.52,-45.84,48.11,256.4,21.42,277.83,29.95,2.5,32.45
Enero,16,240.58,367.62,304.1,63.52,0.14,0.06,-21.27,-60,13.21,4.38,-56.15,61.74,77.99,9.19,87.18,16.29,1.92,18.21
Enero,17,20.15,92.62,56.385,36.235,0.14,0.06,-21.27,-75,1.86,30.75,-64.17,75.5,0.19,0.04,0.23,0.12,0.03,0.15
Febrero,7,114.2,245.58,179.89,65.69,0.15,0.06,-13.62,75,5.96,9.62,69.9,74.7,11.21,2.37,13.58,4.1,0.87,4.96
Febrero,8,391.6,520.65,456.125,64.525,0.15,0.06,-13.62,60,17.95,3.24,61.88,60.4,138.59,15.65,154.24,19.61,2.21,21.82
Febrero,9,630.88,764.92,697.9,67.02,0.15,0.06,-13.62,45,28.93,2.07,52.14,46.35,353.15,28.54,381.7,33.91,2.74,36.65
Febrero,10,813.52,950.85,882.185,68.665,0.15,0.06,-13.62,30,38.2,1.62,38.39,32.19,585.53,38.6,624.13,45.57,3,48.58
Febrero,11,927.1,1065.75,996.425,69.325,0.15,0.06,-13.62,15,44.67,1.42,20.63,19.2,760.48,44.93,805.4,52.91,3.13,56.04
Febrero,12,963.88,1101.8,1032.84,68.96,0.15,0.06,-13.62,0,47.04,1.37,0,12.24,821.86,46.92,868.78,54.87,3.13,58.01
