mes,hora,IEXTMIN,IEXTMAX,IEXTPROM,error,k,C,dec,h,B,AM,IDirect1,IDif1,IT1,IDirect1error,IDif1error,IT1error
Enero,7,82.92,111.5,97.21,14.29,0.14,0.06,-21.27,75,1.86,30.75,1.22,0.09,1.31,0.18,0.01,0.19
Enero,8,342.42,388.1,365.26,22.84,0.14,0.06,-21.27,60,13.21,4.38,184.35,15.23,199.58,11.53,0.95,12.48
Enero,9,566.75,626.98,596.865,30.115,0.14,0.06,-21.27,45,23.37,2.52,390.86,34.01,424.87,19.72,1.72,21.44
Enero,10,732.88,809.27,771.075,38.195,0.14,0.06,-21.27,30,31.72,1.9,550.72,49.62,600.34,27.28,2.46,29.74
Enero,11,830.73,922.55,876.64,45.91,0.14,0.06,-21.27,15,37.37,1.65,648.42,59.57,707.99,33.96,3.12,37.08
Enero,12,853.6,959.1,906.35,52.75,0.14,0.06,-21.27,0,39.39,1.58,677,62.59,739.59,39.4,3.64,43.04
Enero,13,799.95,916.42,858.185,58.235,0.14,0.06,-21.27,-15,37.37,1.65,634.78,58.32,693.1,43.07,3.96,47.03
Enero,14,673.42,797.45,735.435,62.015,0.14,0.06,-21.27,-30,31.72,1.9,525.27,47.32,572.59,44.29,3.99,48.28
Enero,15,482.62,610.27,546.445,63.825,0.14,0.06,-21.27,-45,23.37,2.52,357.84,31.13,388.97,41.79,3.64,45.43
Enero,16,240.58,367.62,304.1,63.52,0.14,0.06,-21.27,-60,13.21,4.38,153.49,12.68,166.17,32.06,2.65,34.71
Enero,17,20.15,92.62,56.385,36.235,0.14,0.06,-21.27,-75,1.86,30.75,0.71,0.05,0.76,0.46,0.04,0.5
Febrero,7,114.2,245.58,179.89,65.69,0.15,0.06,-13.62,75,5.96,9.62,41.3,2.98,44.28,15.08,1.09,16.17
Febrero,8,391.6,520.65,456.125,64.525,0.15,0.06,-13.62,60,17.95,3.24,272.66,21.24,293.9,38.57,3,41.57
Febrero,9,630.88,764.92,697.9,67.02,0.15,0.06,-13.62,45,28.93,2.07,497.23,41.08,538.31,47.75,3.94,51.69
Febrero,10,813.52,950.85,882.185,68.665,0.15,0.06,-13.62,30,38.2,1.62,672.41,57.83,730.24,52.34,4.5,56.84
Febrero,11,927.1,1065.75,996.425,69.325,0.15,0.06,-13.62,15,44.67,1.42,782.62,68.87,851.49,54.45,4.79,59.24
Febrero,12,963.88,1101.8,1032.84,68.96,0.15,0.06,-13.62,0,47.04,1.37,817.33,72.45,889.78,54.57,4.84,59.41
Febrero,13,921.33,1056.52,988.925,67.595,0.15,0.06,-13.62,-15,44.67,1.42,776.74,68.35,845.09,53.09,4.67,57.76
Febrero,14,802.38,933.05,867.715,65.335,0.15,0.06,-13.62,-30,38.2,1.62,661.38,56.88,718.26,49.8,4.28,54.08
Febrero,15,615.1,739.8,677.45,62.35,0.15,0.06,-13.62,-45,28.93,2.07,482.66,39.87,522.53,44.42,3.67,48.09
