mes,dmin,dmax,vmax,vmin,dif,variacion,vprom
Enero,0,30,0.14,0.14,0.0,1.38,0.14
Febrero,30,60,0.15,0.14,0.01,7.39,0.15
Marzo,60,90,0.17,0.15,0.02,10.7,0.16
Abril,90,120,0.19,0.17,0.02,10.6,0.18
Mayo,120,150,0.2,0.19,0.01,7.93,0.19
Junio,150,180,0.21,0.2,0.01,3.89,0.2
Julio,180,210,0.21,0.21,0.0,0.55,0.21
Agosto,210,240,0.2,0.21,0.01,4.73,0.2
Septiembre,240,270,0.18,0.2,0.02,8.06,0.19
Octubre,270,300,0.16,0.18,0.02,9.84,0.17
Noviembre,300,330,0.15,0.16,0.02,9.26,0.16
Diciembre,330,360,0.14,0.15,0.01,5.72,0.14
