,hora,IT1,IDirect1,IDif1,IT0,IDirect0,IDif0,IT1error,IDirect1error,IDif1error,IT0error,IDirect0error,IDif0error
0,5,1.87,1.71,0.16,0.64,0.45,0.18,0.45,0.41,0.04,0.15,0.11,0.04
1,6,42.92,38.31,4.61,16.51,11.81,4.69,5.11,4.59,0.52,1.7,1.19,0.52
2,7,188.77,167.73,21.04,80.42,61.72,18.7,16.24,14.63,1.61,5.8,4.42,1.38
3,8,451.44,400.47,50.97,251.52,211.16,40.36,27.78,25.04,2.75,14.91,12.79,2.11
4,9,692.67,610.91,81.76,488.87,429.28,59.59,31.32,28.09,3.23,22.16,19.86,2.3
5,10,876.14,768.29,107.85,735.72,661.76,73.96,32.48,29.02,3.46,27.51,25.17,2.34
6,11,985.23,860.19,125.04,912.17,829.83,82.34,32.78,29.22,3.57,30.64,28.3,2.33
7,12,1010.43,880.42,130.0,963.32,879.13,84.19,32.76,29.16,3.6,31.56,29.23,2.33
8,13,949.2,828.6,120.6,878.73,799.3,79.43,33.25,29.58,3.66,31.05,28.65,2.4
9,14,808.97,709.15,99.81,679.16,610.68,68.48,33.8,30.11,3.69,28.61,26.12,2.5
10,15,603.92,532.31,71.61,426.17,373.9,52.27,33.29,29.74,3.55,23.55,21.01,2.54
11,16,358.51,317.62,40.89,200.72,168.21,32.51,29.91,26.82,3.09,15.97,13.59,2.38
12,17,131.44,116.63,14.81,57.64,44.39,13.24,16.8,15.04,1.77,6.19,4.66,1.53
13,18,27.84,24.79,3.05,11.13,8.0,3.13,5.95,5.31,0.64,2.17,1.51,0.65
